GEOUID,FEDUID,Riding,FirstName,LastName,Email,Party,Commute,Mode,Recommendation
59001,59001,Abbotsford,Ed,Fast,Ed.Fast@parl.gc.ca,Conservative,around 15 minutes,drive,"invest in active transportation infrastructure such as seperated bike lanes, sidewalks, and recreational trails"
24001,24001,Abitibi--Baie-James--Nunavik--Eeyou,Romeo,Saganash,Romeo.Saganash@parl.gc.ca,NDP,around 15 minutes,drive,"invest in active transportation infrastructure such as seperated bike lanes, sidewalks, and recreational trails"
24002,24002,Abitibi--T‚miscamingue,Christine,Moore,Christine.Moore@parl.gc.ca,NDP,around 15 minutes,drive,"invest in active transportation infrastructure such as seperated bike lanes, sidewalks, and recreational trails"
13001,13001,Acadie--Bathurst,Serge,Cormier,Serge.Cormier@parl.gc.ca,Liberal,around 15 minutes,drive,"invest in active transportation infrastructure such as seperated bike lanes, sidewalks, and recreational trails"
24003,24003,Ahuntsic-Cartierville,M‚lanie,Joly,M‚lanie.Joly@parl.gc.ca,Liberal,around 30 minutes,drive,invest in better public transit
35001,35001,Ajax,Mark,Holland,Mark.Holland@parl.gc.ca,Liberal,over an hour,drive,invest in regional and express commuter rail
24004,24004,Alfred-Pellan,Angelo,Iacono,Angelo.Iacono@parl.gc.ca,Liberal,around 30 minutes,drive,invest in better public transit
35002,35002,Algoma--Manitoulin--Kapuskasing,Carol,Hughes,Carol.Hughes@parl.gc.ca,NDP,around 15 minutes,drive,"invest in active transportation infrastructure such as seperated bike lanes, sidewalks, and recreational trails"
24005,24005,Argenteuil--La Petite-Nation,St‚phane,Lauzon,St‚phane.Lauzon@parl.gc.ca,Liberal,around 15 minutes,drive,"invest in active transportation infrastructure such as seperated bike lanes, sidewalks, and recreational trails"
35003,35003,Aurora--Oak Ridges--Richmond Hill,Leona,Alleslev,Leona.Alleslev@parl.gc.ca,Conservative,around 45 minutes,drive,invest in regional and express commuter rail
10001,10001,Avalon,Ken,McDonald,Ken.McDonald@parl.gc.ca,Liberal,around 30 minutes,drive,invest in better public transit
24006,24006,Avignon--La Mitis--Matane--Matap‚dia,R‚mi,Mass‚,R‚mi.Mass‚@parl.gc.ca,Liberal,around 15 minutes,drive,"invest in active transportation infrastructure such as seperated bike lanes, sidewalks, and recreational trails"
48001,48001,Banff--Airdrie,Blake,Richards,Blake.Richards@parl.gc.ca,Conservative,around 15 minutes,drive,"invest in active transportation infrastructure such as seperated bike lanes, sidewalks, and recreational trails"
35004,35004,Barrie--Innisfil,John,Brassard,John.Brassard@parl.gc.ca,Conservative,around 30 minutes,drive,invest in better public transit
35005,35005,Barrie--Springwater--Oro-Medonte,Alexander,Nuttall,Alexander.Nuttall@parl.gc.ca,Conservative,around 30 minutes,drive,invest in better public transit
48002,48002,Battle River--Crowfoot,Kevin,Sorenson,Kevin.Sorenson@parl.gc.ca,Conservative,around 15 minutes,drive,"invest in active transportation infrastructure such as seperated bike lanes, sidewalks, and recreational trails"
47001,47001,Battlefords--Lloydminster,Rosemarie,Falk,Rosemarie.Falk@parl.gc.ca,Conservative,around 15 minutes,drive,"invest in active transportation infrastructure such as seperated bike lanes, sidewalks, and recreational trails"
35006,35006,Bay of Quinte / Baie de Quinte,Neil,Ellis,Neil.Ellis@parl.gc.ca,Liberal,around 15 minutes,drive,"invest in active transportation infrastructure such as seperated bike lanes, sidewalks, and recreational trails"
35007,35007,Beaches--East York,Nathaniel,Erskine-Smith,Nathaniel.Erskine-Smith@parl.gc.ca,Liberal,around 45 minutes,take transit,invest in regional and express commuter rail
24007,24007,Beauce,Maxime,Bernier,Maxime.Bernier@parl.gc.ca,People's Party,around 15 minutes,drive,"invest in active transportation infrastructure such as seperated bike lanes, sidewalks, and recreational trails"
24020,24020,Beauport--C“te-de-Beaupr‚--×le d'Orl‚ans--Charlevoix,Sylvie,Boucher,Sylvie.Boucher@parl.gc.ca,Conservative,around 30 minutes,drive,invest in better public transit
24008,24008,Beauport--Limoilou,Alupa,Clarke,Alupa.Clarke@parl.gc.ca,Conservative,around 30 minutes,drive,invest in better public transit
13002,13002,Beaus‚jour,Dominic,LeBlanc,Dominic.LeBlanc@parl.gc.ca,Liberal,around 30 minutes,drive,invest in better public transit
24009,24009,B‚cancour--Nicolet--Saurel,Louis,Plamondon,Louis.Plamondon@parl.gc.ca,Bloc Qu‚b‚cois,around 15 minutes,drive,"invest in active transportation infrastructure such as seperated bike lanes, sidewalks, and recreational trails"
24010,24010,Bellechasse--Les Etchemins--L‚vis,Steven,Blaney,Steven.Blaney@parl.gc.ca,Conservative,around 15 minutes,drive,"invest in active transportation infrastructure such as seperated bike lanes, sidewalks, and recreational trails"
24011,24011,Beloeil--Chambly,Matthew,Dub‚,Matthew.Dub‚@parl.gc.ca,NDP,around 30 minutes,drive,invest in better public transit
24012,24012,Berthier--Maskinong‚,Ruth Ellen,Brosseau,Ruth Ellen.Brosseau@parl.gc.ca,NDP,around 30 minutes,drive,invest in better public transit
10002,10002,Bonavista--Burin--Trinity,Churence,Rogers,Churence.Rogers@parl.gc.ca,Liberal,around 15 minutes,drive,"invest in active transportation infrastructure such as seperated bike lanes, sidewalks, and recreational trails"
24015,24015,Bourassa,Emmanuel,Dubourg,Emmanuel.Dubourg@parl.gc.ca,Liberal,around 30 minutes,drive,invest in better public transit
48003,48003,Bow River,Martin,Shields,Martin.Shields@parl.gc.ca,Conservative,around 15 minutes,drive,"invest in active transportation infrastructure such as seperated bike lanes, sidewalks, and recreational trails"
35008,35008,Brampton Centre / Brampton-Centre,Ramesh,Sangha,Ramesh.Sangha@parl.gc.ca,Liberal,around 30 minutes,drive,invest in better public transit
35009,35009,Brampton East / Brampton-Est,Raj,Grewal,Raj.Grewal@parl.gc.ca,Independent,around 30 minutes,drive,invest in better public transit
35010,35010,Brampton North / Brampton-Nord,Ruby,Sahota,Ruby.Sahota@parl.gc.ca,Liberal,around 30 minutes,drive,invest in better public transit
35011,35011,Brampton South / Brampton-Sud,Sonia,Sidhu,Sonia.Sidhu@parl.gc.ca,Liberal,around 30 minutes,drive,invest in better public transit
35012,35012,Brampton West / Brampton-Ouest,Kamal,Khera,Kamal.Khera@parl.gc.ca,Liberal,around 45 minutes,drive,invest in regional and express commuter rail
46001,46001,Brandon--Souris,Larry,Maguire,Larry.Maguire@parl.gc.ca,Conservative,around 15 minutes,drive,"invest in active transportation infrastructure such as seperated bike lanes, sidewalks, and recreational trails"
35013,35013,Brantford--Brant,Phil,McColeman,Phil.McColeman@parl.gc.ca,Conservative,around 15 minutes,drive,"invest in active transportation infrastructure such as seperated bike lanes, sidewalks, and recreational trails"
24016,24016,Brome--Missisquoi,Denis,Paradis,Denis.Paradis@parl.gc.ca,Liberal,around 15 minutes,drive,"invest in active transportation infrastructure such as seperated bike lanes, sidewalks, and recreational trails"
24017,24017,Brossard--Saint-Lambert,Alexandra,MendŠs,Alexandra.MendŠs@parl.gc.ca,Liberal,around 30 minutes,drive,invest in better public transit
35014,35014,Bruce--Grey--Owen Sound,Larry,Miller,Larry.Miller@parl.gc.ca,Conservative,around 15 minutes,drive,"invest in active transportation infrastructure such as seperated bike lanes, sidewalks, and recreational trails"
35015,35015,Burlington,Karina,Gould,Karina.Gould@parl.gc.ca,Liberal,around 30 minutes,drive,invest in better public transit
